str,pl,en
email,email,email
password,hasło,password
forgot_your_password,Zapomniałeś hasła?,Forgot your password?
sign_in,Zaloguj się,Sign in
create_account,Utwórz konto,Create an account
need_register,Nie masz konta? Zarejestruj się,Need an account? Register
have_account_sign_in,Masz konto? Zaloguj się,Have an account? Sign in
sign_out,Wyloguj,Sign out
sign_in_with_google,Zaloguj się przez Google,Sign in with Google
sign_in_with_facebook,Zaloguj się przez Facebook,Sign in with Facebook
sign_in_with_email,Zaloguj się przez Email,Sign in with Email
back,Wróć,Back
send,Wyślij,Send
register,Resetracja,Register
login,Logowanie,Login
reset_password,Resetowanie hasła,Reset Password
reset_mail,Na Twój adres wysłaliśmy link do zrestowania hasła,reset_mail
home,Pulpit,Home
settings,Ustawienia,Settings
help,Pomoc,Help
skip,Pomiń,Skip
next,Następny,Next
done,Zakończ,Done
edit_profile,Edycja profilu,Edit Profile
name,Nazwa,Name
save,Zapisz,Save
name_not_available,Nazwa niedostępna,Name not available
dark_mode,Tryb Ciemny,Dark Mode
locale_app,Język aplikacji,Locale aplication
click_to_book,Klikniej aby zarezerwować,Click to book
excluded_from_the_booking,Wyłączony z rezerwacji,Excluded from the booking
time,Czas,Time
bookings,Rezerwacje,Bookings
booking,Rezerwacj,Booking
description,Opis,Description
count,Liczba,Count
free,Wolne,Free
highlight,Wyróżnij,Highlight
show,Pokaż,Show
companies,Firmy,companies
rooms,Pokoje,rooms
management,Zarządzanie,management
already_booked_other_user,Ups... Ktoś Cie uprzedził,already_booked_other_user
already_booked_in_other_desk,Zarezerwowałeś już dana godzinne na innym biurku,already_booked_in_other_desk
dismiss,Wyłącz,Dismiss
create,Utwórz,Create
company_name,Nazwa firmy,Company name
create_room,Kreator,create_room
need_create_first_room,Nie utworzona jeszcze pokoju dla tej firmy,need_create_first_room
owners,Właściciele,Owners
users,Użytkownicy,Users
are_you_sure_you_want_to_do_this,Czy na pewno chcesz to zrobić?,Are you sure you want to do this?
yes,Tak,Yes
no,Nie,No
room_name,Nazwa pokoju,Room Name
open,Otwarte,Open
close,Zamkniete,close
search,Szukaj,Search
there_is_no_such_email_address,Nie ma takiego adresu email,There is no such email address
wait_for_the_invitation_or_create_your_own_company,Poczekaj na zaproszenie lub utwórz własną firme,Wait for the invitation or create your own company
position,Stanowisko,Position